"filename", "language", "Markdown", "JavaScript", "HTML", "CSS", "JavaScript JSX", "JSON", "XML", "comment", "blank", "total"
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\TODO.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\package-lock.json", "JSON", 0, 0, 0, 0, 0, 18388, 0, 0, 1, 18389
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\package.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 0, 57
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\public\index.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 23, 3, 43
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\App.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 1, 9, 71
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\avrag\OneDrive\שולחן העבודה\לימודים\projects\project3 - react\cardify\src\components\BusinessCardComp.jsx", "JavaScript JSX", 0, 0, 0, 0, 175, 0, 0, 0, 14, 189
